t_s,vx_ref,vy_ref,vz_ref,yawrate_ref_deg_s,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,wx_raw,wy_raw,wz_raw,m1,m2,m3,m4,motor_var1,motor_var2,motor_var3,motor_var4,log_timestamp,a_N_per_u2,a_source,F1_N,F2_N,F3_N,F4_N,T_N,tau_x_Nm,tau_y_Nm,tau_z_Nm,momentConstant_km,roll_rad,pitch_rad,yaw_rad,wx_radps,wy_radps,wz_radps,gyro_units_detected
7.605552673339844e-05,-4.388542795060735e-05,-5.021308291757842e-05,-2.205590753711739e-05,-0.0026249238619973,1.3350831551406372e-10,-4.3603085031485023e-10,0.0031332094222307,0.0,0.0,0.0,0.0,0.0,0.0,38748.0,38748.0,38748.0,38748.0,motor.m1,motor.m2,motor.m3,motor.m4,14376,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06905487409116347,0.06905487409116347,0.06905487409116347,0.06905487409116347,0.27621949636465387,0.0,0.0,0.0,0.005964552,0.0,0.0,0.0,0.0,0.0,0.0,"wx:deg/s, wy:deg/s, wz:deg/s"
0.0503568649291992,-0.0122442732481677,-0.0108931313097456,-0.0061965479945116,-1.145972881670896,4.2264244881629054e-10,-6.196483770537497e-09,0.0024979223962873,0.0,0.0,0.0,0.0,0.0,0.0,38748.0,38748.0,38750.0,38750.0,motor.m1,motor.m2,motor.m3,motor.m4,14426,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06905487409116347,0.06905487409116347,0.06906200288813306,0.06906200288813306,0.27623375395859306,4.41985412115084e-07,0.0,0.0,0.005964552,0.0,0.0,0.0,0.0,0.0,0.0,"wx:deg/s, wy:deg/s, wz:deg/s"
0.1007015705108642,0.0097348342476086,0.0223735667209781,0.0047144224453329,-1.036858099531802,-2.0360263079055585e-05,-2.0663928808062337e-05,0.0019344676984474,0.0064290175214409,0.0068578333593904,1.455598157917848e-05,1.7642500400543213,-1.9100933074951167,0.0624254494905471,38719.0,38927.0,38725.0,38633.0,motor.m1,motor.m2,motor.m3,motor.m4,14476,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.0689515478831939,0.06969435862963995,0.06897291937223282,0.06864558710695139,0.27626441299201804,-3.184940104313883e-05,3.317443336355204e-05,2.478143005787373e-06,0.005964552,0.00011220752341754885,0.00011969177167446607,2.540498044163082e-07,0.030791972027389744,-0.03333741723609827,0.0010895296306474636,"wx:deg/s, wy:deg/s, wz:deg/s"
0.1510181427001953,0.0575918969142702,0.0837683457387805,0.0285569114164919,0.3008205920616293,-0.0004476732574403,-0.0003975716826971,0.0020903849508613,0.0678979009389877,0.0827732533216476,0.0078308433294296,-4.476040840148926,2.1448850631713867,0.3803334236145019,38589.0,38349.0,38831.0,39171.0,motor.m1,motor.m2,motor.m3,motor.m4,14526,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06848931211777896,0.06764003799780745,0.06935102837920067,0.07057080529741436,0.2760511837922014,0.00011756699039188736,-6.414058218374118e-05,2.2098832062610345e-06,0.005964552,0.001185041926578285,0.0014446658030500836,0.00013667399930638148,-0.07812165011433195,0.037435306429187264,0.0066380704974554105,"wx:deg/s, wy:deg/s, wz:deg/s"
0.2013478279113769,0.1144822524991345,0.1457012178960969,0.0569130357553696,2.681567589367668,-0.0005655720015056,0.0001099814617191,0.0033124091569334,-0.22684346139431,-0.0907465741038322,0.0346003286540508,-14.37574291229248,10.099534034729004,0.8554246425628662,38533.0,37841.0,38945.0,39433.0,motor.m1,motor.m2,motor.m3,motor.m4,14576,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06829067424019654,0.0658598845429737,0.06975882743010632,0.07151800530730734,0.2754273915205839,0.00022091449258154587,-0.00012988899480713932,-4.0058636243347654e-06,0.005964552,-0.003959165287951356,-0.0015838265030168946,0.0006038896572853245,-0.2509040462397422,0.17627012182324844,0.01492997651541764,"wx:deg/s, wy:deg/s, wz:deg/s"
0.2515921592712402,0.1615468915284834,0.1827414023358603,0.0803649921229358,5.783647771257277,0.0023487696889787,0.0050961808301508,0.0050366749055683,-0.9921910166740416,-0.6355063915252686,0.0787295326590538,-20.75799369812012,16.16041374206543,0.9767060279846193,38519.0,37451.0,39107.0,39403.0,motor.m1,motor.m2,motor.m3,motor.m4,14626,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06824105984435787,0.06450933911754733,0.07034038780258951,0.07140922717666631,0.274500013941161,0.00027897569653786937,-0.0001488173631275071,-1.5882894298210675e-05,0.005964552,-0.017317000049671984,-0.011091678949584126,0.001374089563456895,-0.36229533614042997,0.2820524282835794,0.01704673601240748,"wx:deg/s, wy:deg/s, wz:deg/s"
0.3019313812255859,0.1852141998233572,0.1837417091705583,0.0921415535187636,9.220717970583909,0.0107800345867872,0.0173793267458677,0.0052071954123675,-1.9139741659164429,-1.3711261749267578,0.1025721356272697,-17.801193237304688,16.210674285888672,0.3403693735599518,38606.0,37522.0,39218.0,39006.0,motor.m1,motor.m2,motor.m3,motor.m4,14676,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06854966997988603,0.06475416593862189,0.07074025809287689,0.069977526674004,0.2740216206853888,0.00022983241429956267,-9.401595129412878e-05,-2.7187832430231214e-05,0.005964552,-0.03340515099335416,-0.023930666212747646,0.0017902214874980355,-0.31068943277471506,0.2829296402571379,0.005940566241571692,"wx:deg/s, wy:deg/s, wz:deg/s"
0.3521676063537597,0.1813771057207258,0.1557841193517969,0.0902025936843368,12.557304951526492,0.0253844130784273,0.0369177274405956,0.0034125200472772,-2.7404513359069824,-2.112251043319702,0.0723333954811096,-10.870501518249512,12.509040832519531,-1.0584876537322998,38640.0,37982.0,39492.0,38318.0,motor.m1,motor.m2,motor.m3,motor.m4,14726,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06867046545669987,0.06635160223207633,0.07173217714237835,0.06753072648141159,0.27428497131256613,0.00013146591398542542,5.8360210526639446e-05,-3.889075122692542e-05,0.005964552,-0.047829898802253946,-0.03686573533461418,0.0012624559102925505,-0.18972604283649644,0.2183239487938784,-0.018474094649338278,"wx:deg/s, wy:deg/s, wz:deg/s"
0.4024090766906738,0.1565808737208996,0.1194261876751498,0.0778280618526267,15.4119912751519,0.0453395061194896,0.0617677457630634,0.0003751725889742,-3.16255784034729,-2.6238694190979004,-0.0404313653707504,0.1994490027427673,4.561307907104492,-3.144659280776977,38499.0,38323.0,40007.0,37835.0,motor.m1,motor.m2,motor.m3,motor.m4,14776,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06817021341154621,0.06754835139200756,0.07361523927686553,0.06583900095219185,0.27517280503261116,0.00011580593819061251,0.00022178566545918597,-5.00909062042723e-05,0.005964552,-0.05519704709882138,-0.04579516050564934,-0.0007056604467964124,0.0034810417876804905,0.07960984117622504,-0.05488465830295508,"wx:deg/s, wy:deg/s, wz:deg/s"
0.4527618885040283,0.1246051024268014,0.0976011835130199,0.0619081823992747,17.48322729583258,0.0679924562573432,0.0878806635737419,-0.0012045097537338,-3.000372171401977,-2.673115491867065,-0.2529716789722442,10.081388473510742,-5.398523807525635,-5.307555198669434,38410.0,38694.0,40466.0,37198.0,motor.m1,motor.m2,motor.m3,motor.m4,14827,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06785539296775449,0.06886253565710308,0.07531410335366105,0.06364069822397157,0.27567273020249017,6.93430615360262e-05,0.0003930969823901804,-6.361947697106009e-05,0.005964552,-0.05236637317617615,-0.04665466661914799,-0.0044151887123637665,0.1759534220353676,-0.09422201518862296,-0.09263431344812338,"wx:deg/s, wy:deg/s, wz:deg/s"
0.5031626224517822,0.1011238833039198,0.104372498052302,0.0502747094903314,18.580687166947307,0.0899053290486335,0.1115353256464004,-0.000921725295484,-2.492650270462036,-2.328988552093506,-0.5614502429962158,11.99021816253662,-11.38006591796875,-7.775794982910156,37986.0,38356.0,41050.0,37316.0,motor.m1,motor.m2,motor.m3,motor.m4,14877,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.0663655783462518,0.0676647334776964,0.07750363619349859,0.06404510240815861,0.2755790504256054,0.00023307123010897924,0.0004574883564203219,-7.252524626884894e-05,0.005964552,-0.04350495432028969,-0.04064851847528715,-0.0097991553264062,0.20926878496868861,-0.19861961936254563,-0.13571322441183845,"wx:deg/s, wy:deg/s, wz:deg/s"
