t_s,vx_ref,vy_ref,vz_ref,yawrate_ref_deg_s,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,wx_raw,wy_raw,wz_raw,m1,m2,m3,m4,motor_var1,motor_var2,motor_var3,motor_var4,tilt_deg,scale,log_timestamp,a_N_per_u2,a_source,F1_N,F2_N,F3_N,F4_N,T_N,tau_x_Nm,tau_y_Nm,tau_z_Nm,momentConstant_km,roll_rad,pitch_rad,yaw_rad,wx_radps,wy_radps,wz_radps,gyro_units_detected
7.152557373046875e-07,-9.905204080703103e-21,-1.1334807757556895e-20,-4.978131102460821e-21,-5.9227173000986e-19,1.1303862706979472e-10,-3.4814340299504915e-10,0.0030288831330835,0.0,0.0,0.0,0.0,0.0,0.0,38745.0,38745.0,38745.0,38745.0,motor.m1,motor.m2,motor.m3,motor.m4,0.0,1.0,13627,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06904418158561047,0.06904418158561047,0.06904418158561047,0.06904418158561047,0.2761767263424419,0.0,0.0,0.0,0.005964552,0.0,0.0,0.0,0.0,0.0,0.0,"wx:deg/s, wy:deg/s, wz:deg/s"
0.0503900051116943,-1.4508147887297384e-06,-1.2901264598713831e-06,-7.34232731705146e-07,-0.0001358653141999,3.318524066653339e-10,-4.641670381388962e-10,0.0023939555976539,0.0,0.0,0.0,0.0,0.0,0.0,38747.0,38747.0,38747.0,38747.0,motor.m1,motor.m2,motor.m3,motor.m4,0.0,1.0,13677,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06905130983065895,0.06905130983065895,0.06905130983065895,0.06905130983065895,0.2762052393226358,0.0,0.0,0.0,0.005964552,0.0,0.0,0.0,0.0,0.0,0.0,"wx:deg/s, wy:deg/s, wz:deg/s"
0.1007628440856933,4.61557602844609e-06,1.05883586744303e-05,2.2355375012559844e-06,-0.0004889003807498,7.118901579339364e-10,-5.328142371752165e-10,0.001857808441855,0.0,0.0,0.0,0.0,0.0,0.0,38752.0,38752.0,38752.0,38752.0,motor.m1,motor.m2,motor.m3,motor.m4,0.0,1.0,13727,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06906913205305006,0.06906913205305006,0.06906913205305006,0.06906913205305006,0.2762765282122002,0.0,0.0,0.0,0.005964552,0.0,0.0,0.0,0.0,0.0,0.0,"wx:deg/s, wy:deg/s, wz:deg/s"
0.1511240005493164,6.100234418386899e-05,8.869707412436825e-05,3.0248295173664163e-05,0.0003222209866063,1.3258950604111421e-09,-4.509552731235544e-10,0.0011786506511271,0.0,0.0,0.0,0.0,0.0,0.0,38756.0,38756.0,38756.0,38756.0,motor.m1,motor.m2,motor.m3,motor.m4,0.0,1.0,13778,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06908339148672625,0.06908339148672625,0.06908339148672625,0.06908339148672625,0.276333565946905,0.0,0.0,0.0,0.005964552,0.0,0.0,0.0,0.0,0.0,0.0,"wx:deg/s, wy:deg/s, wz:deg/s"
0.2014141082763672,0.000214181637659,0.000272546312193,0.0001064771765557,0.005020611113143,1.734110668394351e-07,1.7101427829402382e-07,0.0006925743655301,0.0,0.0,0.0,0.0,0.0,0.0,38758.0,38760.0,38758.0,38756.0,motor.m1,motor.m2,motor.m3,motor.m4,0.0,1.0,13828,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06909052175548545,0.06909765239219205,0.06909052175548545,0.06908339148672625,0.2763620873898892,-4.420880694399991e-07,4.420880694395654e-07,2.1946414412339632e-12,0.005964552,0.0,0.0,0.0,0.0,0.0,0.0,"wx:deg/s, wy:deg/s, wz:deg/s"
0.2517311573028564,0.0004700897495401,0.0005315838613634,0.0002338564823457,0.0168462139420711,6.978340479690814e-06,7.191913482529344e-06,0.0002782431547529,-0.0005012864712625,-0.0001859589247033,-8.180573440874638e-10,-0.0609826669096946,0.0609595887362957,0.0,38760.0,38754.0,38758.0,38764.0,motor.m1,motor.m2,motor.m3,motor.m4,0.0005012864712625,1.0,13878,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06909765239219205,0.06907626158591444,0.06909052175548545,0.06911191476944749,0.27637635050303944,8.841989516199765e-07,-1.3262984274284469e-06,1.3167848538983562e-11,0.005964552,-8.749099419234562e-06,-3.2455955095408043e-06,-1.427779412444641e-11,-0.0010643483242211663,0.0010639455341100092,0.0,"wx:deg/s, wy:deg/s, wz:deg/s"
0.3019876480102539,0.0007718803644947,0.0007656240339106,0.0003839999410165,0.0384412333748418,3.4509761462686583e-05,3.813620423898101e-05,-0.0001364690979244,-0.0028838096186518,-0.0023953597992658,-6.757876036544985e-08,-0.1222524344921112,0.0610353052616119,0.0,38743.0,38743.0,38779.0,38779.0,motor.m1,motor.m2,motor.m3,motor.m4,0.0028838096186518,1.0,13928,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06903705370850939,0.06903705370850939,0.06916541179228157,0.06916541179228157,0.2764049310015819,7.958201193874678e-06,0.0,0.0,0.005964552,-5.033197284615599e-05,-4.180691526709866e-05,-1.1794718727933465e-09,-0.0021337075004660222,0.0010652670367749465,0.0,"wx:deg/s, wy:deg/s, wz:deg/s"
0.3523759841918945,0.0010243099502137,0.0008792536274416,0.0005094095732562,0.0710163946375105,9.177679748972878e-05,0.0001081710652215,-0.0005483643035404,-0.0065607191063463,-0.0054471329785883,-3.280440523667494e-07,-0.1234606206417083,0.0610351674258708,0.0,38754.0,38754.0,38770.0,38762.0,motor.m1,motor.m2,motor.m3,motor.m4,0.0065607191063463,1.0,13978,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06907626158591444,0.06907626158591444,0.06913331109493615,0.06910478339684607,0.2763906176636111,2.652710918552882e-06,8.843586407920184e-07,-1.701549386985018e-07,0.005964552,-0.00011450614970424294,-9.507040527033163e-05,-5.725448805384473e-09,-0.0021547943267534843,0.0010652646310874375,0.0,"wx:deg/s, wy:deg/s, wz:deg/s"
0.4027538299560547,0.0011490576801222,0.0008759591559744,0.0005711334509081,0.1133799271629009,0.0001842854690039,0.0002225502539658,-0.0009555927244946,-0.0103299552574753,-0.0084988866001367,-7.914015895948978e-07,-0.1178711056709289,0.0867676064372062,0.0,38761.0,38725.0,38773.0,38793.0,motor.m1,motor.m2,motor.m3,motor.m4,0.0103299552574753,1.0,14028,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06910121784852563,0.06897291937223282,0.06914401049950296,0.06921536102025745,0.27643350874051886,8.842263269060423e-06,-6.189118908466167e-06,-3.3966904210201796e-07,0.005964552,-0.00018029173082664257,-0.00014833355392601216,-1.3812563443947864e-08,-0.0020572388869238693,0.0015143804164038748,0.0,"wx:deg/s, wy:deg/s, wz:deg/s"
0.4531166553497314,0.0011519679019163,0.000903299647582,0.0005723376074888,0.1620116874696042,0.0003169557312503,0.0003786618763115,-0.0012659357162192,-0.013553949072957,-0.0121423415839672,-1.5634112742191064e-06,-0.0122123910114169,0.0117683988064527,0.0,38764.0,38758.0,38778.0,38752.0,motor.m1,motor.m2,motor.m3,motor.m4,0.013553949072957,1.0,14078,4.599342544058809e-11,/home/dzmitry/CrazySim/scripts/results/thrustfit_latest.json,0.06911191476944749,0.06909052175548545,0.06916184468018467,0.06906913205305006,0.27643341325816767,8.847464573556035e-07,2.210908008350252e-06,-6.805890298143178e-07,0.005964552,-0.00023656103797073277,-0.00021192383954205115,-2.7286674297923345e-08,-0.00021314643269018533,0.00020539730686037054,0.0,"wx:deg/s, wy:deg/s, wz:deg/s"
